organismQuantity	eventID	basisOfRecord	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	occurrenceID
20114	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Clupeiformes	Clupeidae	Clupea	superkingdom:Eukaryota:100.00000000000007;phylum:Chordata:100.00000000000007;class:Actinopteri:100.00000000000007;order:Clupeiformes:100.00000000000007;family:Clupeidae:100.00000000000007;genus:Clupea:100.00000000000007;species:Clupea_harengus:98.045164141784	Clupea harengus	urn:lsid:marinespecies.org:taxname:126417	species	asv.10_W-8-multi-tot
19470	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.163_W-8-multi-tot
18660	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Salmoniformes	Salmonidae	Salmo	superkingdom:Eukaryota:100.0000000000001;phylum:Chordata:100.0000000000001;class:Actinopteri:100.0000000000001;order:Salmoniformes:100.0000000000001;family:Salmonidae:100.0000000000001;genus:Salmo:99.5505050505052;species:Salmo_trutta:85.92260964187956	Salmo trutta	urn:lsid:marinespecies.org:taxname:127187	species	asv.8_W-8-multi-tot
18593	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Anguilliformes	Anguillidae	Anguilla	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Anguilliformes:100.0;family:Anguillidae:100.0;genus:Anguilla:100.0;species:Anguilla_anguilla:96.76363636363638	Anguilla anguilla	urn:lsid:marinespecies.org:taxname:126281	species	asv.15_W-8-multi-tot
17810	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gadiformes	Gadidae		superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gadiformes:100.0;family:Gadidae:100.0;genus:Merlangius:54.46309523809519;species:Merlangius_merlangus:54.46309523809519	Gadidae	urn:lsid:marinespecies.org:taxname:125469	family	asv.6_W-8-singleplex
17697	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:99.99999999999999;phylum:Chordata:99.99999999999999;class:Actinopteri:99.99999999999999;order:Gobiiformes:99.99999999999999;family:Gobiidae:99.99999999999999;genus:Pomatoschistus:99.99999999999999;species:Pomatoschistus_knerii:71.39999999999999	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.14_W-8-multi-tot
17434	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes	Zoarcidae	Zoarces	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Perciformes:100.0;family:Zoarcidae:100.0;genus:Zoarces:100.0;species:Zoarces_elongatus:100.0	Zoarces elongatus	urn:lsid:marinespecies.org:taxname:274153	species	asv.12_W-8-singleplex
16925	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Salmoniformes	Salmonidae	Salmo	superkingdom:Eukaryota:100.0000000000001;phylum:Chordata:100.0000000000001;class:Actinopteri:100.0000000000001;order:Salmoniformes:100.0000000000001;family:Salmonidae:100.0000000000001;genus:Salmo:99.5505050505052;species:Salmo_trutta:85.92260964187956	Salmo trutta	urn:lsid:marinespecies.org:taxname:127187	species	asv.8_W-8-singleplex
16234	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:99.99999999999984;phylum:Chordata:99.99999999999984;class:Actinopteri:99.99999999999984;order:Pleuronectiformes:99.99999999999984;family:Pleuronectidae:99.99999999999984;genus:Platichthys:30.825493706764277;species:Platichthys_stellatus:30.825493706764277	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.16_W-8-multi-tot
13616	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.164_W-8-multi-tot
13413	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.165_W-8-multi-tot
12188	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Clupeiformes	Clupeidae	Clupea	superkingdom:Eukaryota:100.00000000000007;phylum:Chordata:100.00000000000007;class:Actinopteri:100.00000000000007;order:Clupeiformes:100.00000000000007;family:Clupeidae:100.00000000000007;genus:Clupea:100.00000000000007;species:Clupea_harengus:98.045164141784	Clupea harengus	urn:lsid:marinespecies.org:taxname:126417	species	asv.10_W-8-singleplex
11845	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Clupeiformes	Clupeidae	Clupea	superkingdom:Eukaryota:99.99999999999991;phylum:Chordata:99.99999999999991;class:Actinopteri:99.99999999999991;order:Clupeiformes:99.99999999999991;family:Clupeidae:99.99999999999991;genus:Clupea:99.99999999999991;species:Clupea_harengus:98.98877223330689	Clupea harengus	urn:lsid:marinespecies.org:taxname:126417	species	asv.17_W-8-singleplex
11344	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Clupeiformes	Clupeidae	Clupea	superkingdom:Eukaryota:100.00000000000016;phylum:Chordata:100.00000000000016;class:Actinopteri:100.00000000000016;order:Clupeiformes:100.00000000000016;family:Clupeidae:100.00000000000016;genus:Clupea:99.92995581552604;species:Clupea_harengus:99.22754700918071	Clupea harengus	urn:lsid:marinespecies.org:taxname:126417	species	asv.18_W-8-multi-tot
10744	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes	Zoarcidae	Zoarces	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Perciformes:100.0;family:Zoarcidae:100.0;genus:Zoarces:99.0;species:Zoarces_elongatus:99.0	Zoarces elongatus	urn:lsid:marinespecies.org:taxname:274153	species	asv.19_W-8-multi-tot
10738	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:99.99999999999996;phylum:Chordata:99.99999999999996;class:Actinopteri:99.99999999999996;order:Pleuronectiformes:99.85537727168158;family:Pleuronectidae:99.85537727168158;genus:Limanda:49.972615910830314;species:Limanda_aspera:42.747099561700686	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.20_W-8-multi-tot
10386	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Clupeiformes	Clupeidae	Clupea	superkingdom:Eukaryota:99.99999999999993;phylum:Chordata:99.99999999999993;class:Actinopteri:99.99999999999993;order:Clupeiformes:99.99999999999993;family:Clupeidae:99.99999999999993;genus:Clupea:99.96441913834734;species:Clupea_harengus:99.78360247931549	Clupea harengus	urn:lsid:marinespecies.org:taxname:126417	species	asv.21_W-8-multi-tot
10311	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:99.99999999999999;phylum:Chordata:99.99999999999999;class:Actinopteri:99.99999999999999;order:Gobiiformes:99.99999999999999;family:Gobiidae:99.99999999999999;genus:Pomatoschistus:99.99999999999999;species:Pomatoschistus_minutus:67.41666666666666	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.4_W-8-singleplex
9063	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes	Zoarcidae	Zoarces	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Perciformes:100.0;family:Zoarcidae:100.0;genus:Zoarces:100.0;species:Zoarces_elongatus:100.0	Zoarces elongatus	urn:lsid:marinespecies.org:taxname:274153	species	asv.12_W-8-multi-tot
8991	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000007;phylum:Chordata:100.00000000000007;class:Actinopteri:100.00000000000007;order:Pleuronectiformes:99.93265993266;family:Pleuronectidae:99.93265993266;genus:Platichthys:31.566828165580688;species:Platichthys_stellatus:31.566828165580688	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.22_W-8-multi-tot
8460	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Aves	Charadriiformes	Laridae	Chroicocephalus	superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:100.00000000000001;class:Aves:100.00000000000001;order:Charadriiformes:100.00000000000001;family:Laridae:100.00000000000001;genus:Chroicocephalus:96.01190476190477;species:Chroicocephalus_brunnicephalus:53.4206349206349	Chroicocephalus	urn:lsid:marinespecies.org:taxname:465357	genus	asv.23_W-8-multi-tot
8376	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.166_W-8-multi-tot
8285	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes	Pholidae	Pholis	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Perciformes:100.0;family:Pholidae:98.05590062111801;genus:Pholis:94.37897754419492;species:Pholis_gunnellus:45.70032648510912	Pholis	urn:lsid:marinespecies.org:taxname:126041	genus	asv.24_W-8-multi-tot
8153	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Aves	Charadriiformes	Laridae		superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Aves:100.0;order:Charadriiformes:100.0;family:Laridae:100.0;genus:Larus:80.01666666666668;species:Larus_glaucoides:40.708333333333336	Laridae	urn:lsid:marinespecies.org:taxname:136988	family	asv.25_W-8-multi-tot
7353	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.26_W-8-multi-tot
6726	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Clupeiformes	Clupeidae	Clupea	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Clupeiformes:100.0;family:Clupeidae:100.0;genus:Clupea:96.44798751977652;species:Clupea_pallasii:53.72532549700357	Clupea	urn:lsid:marinespecies.org:taxname:125716	genus	asv.27_W-8-singleplex
6685	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.167_W-8-multi-tot
6638	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.168_W-8-multi-tot
6183	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes	Ammodytidae	Ammodytes	superkingdom:Eukaryota:100.00000000000003;phylum:Chordata:100.00000000000003;class:Actinopteri:100.00000000000003;order:Uranoscopiformes:100.00000000000003;family:Ammodytidae:100.00000000000003;genus:Ammodytes:100.00000000000003;species:Ammodytes_hexapterus:42.93333333333332	Ammodytes	urn:lsid:marinespecies.org:taxname:125909	genus	asv.28_W-8-multi-tot
5896	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.29_W-8-multi-tot
5817	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.169_W-8-multi-tot
5683	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.170_W-8-multi-tot
5520	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.171_W-8-multi-tot
4998	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.172_W-8-multi-tot
4944	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.173_W-8-multi-tot
4879	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:100.00000000000001;class:Mammalia:100.00000000000001;order:Carnivora:100.00000000000001;family:Canidae:100.00000000000001;genus:Canis:100.00000000000001;species:Canis_lupus:100.00000000000001	Canis lupus	urn:lsid:marinespecies.org:taxname:1506689	species	asv.30_W-8-multi-tot
4765	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.174_W-8-multi-tot
4763	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.175_W-8-multi-tot
4701	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.176_W-8-multi-tot
4395	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.177_W-8-multi-tot
4280	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.178_W-8-multi-tot
4144	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.179_W-8-multi-tot
3986	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.180_W-8-multi-tot
3940	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.181_W-8-multi-tot
3843	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.182_W-8-multi-tot
3572	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.183_W-8-multi-tot
3459	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.184_W-8-multi-tot
3373	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.185_W-8-multi-tot
3166	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.186_W-8-multi-tot
3143	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	224927	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Pomatoschistus	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gobiiformes:100.0;family:Gobiidae:100.0;genus:Pomatoschistus:100.0;species:Pomatoschistus_knerii:73.5	Pomatoschistus	urn:lsid:marinespecies.org:taxname:125999	genus	asv.31_W-8-singleplex
3036	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	2261741	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.187_W-8-multi-tot
