organismQuantity	eventID	basisOfRecord	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	occurrenceID
1911	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.378_W-8-multi-tot
1889	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.379_W-8-multi-tot
1846	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.380_W-8-multi-tot
1826	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.381_W-8-multi-tot
1768	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.382_W-8-multi-tot
1751	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.383_W-8-multi-tot
1671	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	42980	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.185_W-8-singleplex
1582	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.384_W-8-multi-tot
1566	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.385_W-8-multi-tot
1557	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.386_W-8-multi-tot
1526	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.387_W-8-multi-tot
1493	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.388_W-8-multi-tot
1465	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.5_W-8-multi-tot
1464	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.389_W-8-multi-tot
1417	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.390_W-8-multi-tot
1385	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.391_W-8-multi-tot
1377	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.392_W-8-multi-tot
1359	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.393_W-8-multi-tot
1335	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.394_W-8-multi-tot
1271	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.6_W-8-multi-tot
1163	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.7_W-8-multi-tot
1160	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.395_W-8-multi-tot
1130	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.396_W-8-multi-tot
1126	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.397_W-8-multi-tot
1100	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.398_W-8-multi-tot
1093	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.399_W-8-multi-tot
1088	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.400_W-8-multi-tot
1073	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.177_W-8-multi-tot
1072	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.187_W-8-multi-tot
1070	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.401_W-8-multi-tot
1070	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.9_W-8-multi-tot
1057	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.402_W-8-multi-tot
1033	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.403_W-8-multi-tot
1001	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.404_W-8-multi-tot
993	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae		superkingdom:Eukaryota:100.00000000000001;phylum:Chordata:100.00000000000001;class:Actinopteri:100.00000000000001;order:Pleuronectiformes:100.00000000000001;family:Pleuronectidae:99.8;genus:Lepidopsetta:18.27063492063492;species:Lepidopsetta_bilineata:18.27063492063492	Pleuronectidae	urn:lsid:marinespecies.org:taxname:125579	family	asv.190_W-8-multi-tot
936	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.405_W-8-multi-tot
920	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.406_W-8-multi-tot
894	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.407_W-8-multi-tot
887	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.408_W-8-multi-tot
887	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.409_W-8-multi-tot
884	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.410_W-8-multi-tot
862	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.411_W-8-multi-tot
858	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.412_W-8-multi-tot
847	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	42980	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.186_W-8-singleplex
833	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	42980	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes	Anarhichadidae	Anarhichas	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Perciformes:100.0;family:Anarhichadidae:85.0;genus:Anarhichas:85.0;species:Anarhichas_denticulatus:42.5	Anarhichas	urn:lsid:marinespecies.org:taxname:125912	genus	asv.8_W-8-singleplex
832	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.193_W-8-multi-tot
832	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.413_W-8-multi-tot
825	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.414_W-8-multi-tot
797	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.141_W-8-multi-tot
783	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae		superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gobiiformes:100.0;family:Gobiidae:100.0;genus:Economidichthys:52.983333333333334;species:Economidichthys_pygmaeus:52.983333333333334	Gobiidae	urn:lsid:marinespecies.org:taxname:125537	family	asv.67_W-8-multi-tot
779	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.194_W-8-multi-tot
773	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.415_W-8-multi-tot
771	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	42980	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes			superkingdom:Eukaryota:99.99999999999997;phylum:Chordata:99.99999999999997;class:Actinopteri:99.99999999999997;order:Perciformes:99.99999999999997;family:Anarhichadidae:52.83333333333333;genus:Anarhichas:52.83333333333333;species:Pholis_gunnellus:38.33333333333333	Perciformes	urn:lsid:marinespecies.org:taxname:11014	order	asv.416_W-8-singleplex
769	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	42980	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.189_W-8-singleplex
763	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.417_W-8-multi-tot
759	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.418_W-8-multi-tot
748	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.419_W-8-multi-tot
736	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.420_W-8-multi-tot
720	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.421_W-8-multi-tot
717	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.422_W-8-multi-tot
714	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes			superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Perciformes:100.0;family:Anarhichadidae:79.5;genus:Anarhichas:79.5;species:Anarhichas_minor:39.75	Perciformes	urn:lsid:marinespecies.org:taxname:11014	order	asv.195_W-8-multi-tot
689	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.423_W-8-multi-tot
675	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.179_W-8-multi-tot
653	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	42980	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.188_W-8-singleplex
650	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.424_W-8-multi-tot
615	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	42980	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.197_W-8-singleplex
612	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.425_W-8-multi-tot
606	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	1584235	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Perciformes	Pholidae	Pholis	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Perciformes:100.0;family:Pholidae:98.0;genus:Pholis:98.0;species:Pholis_gunnellus:98.0	Pholis gunnellus	urn:lsid:marinespecies.org:taxname:126996	species	asv.198_W-8-multi-tot
