organismQuantity	eventID	basisOfRecord	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	occurrenceID
4308	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Annelida:71.33333333333334;class:Clitellata:71.33333333333334;order:Crassiclitellata:71.33333333333334;family:Megascolecidae:71.33333333333334;genus:Amynthas:71.33333333333334;species:Amynthas_sp._YN201722-01:32.0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.338_W-8-singleplex
4211	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Arthropoda	Malacostraca	Amphipoda			superkingdom:Eukaryota:100.0;phylum:Arthropoda:100.0;class:Malacostraca:100.0;order:Amphipoda:100.0;family:Acanthogammaridae:65.0;genus:Eucarinogammarus:65.0;species:Eucarinogammarus_wagii:65.0	Amphipoda	urn:lsid:marinespecies.org:taxname:1135	order	asv.337_W-8-singleplex
3286	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta		Arenicolidae	Arenicola	superkingdom:Eukaryota:99.99999999999997;phylum:Annelida:99.99999999999997;class:Polychaeta:99.99999999999997;order:NA:6.792261904761906;family:Arenicolidae:99.99999999999997;genus:Arenicola:99.99999999999997;species:Arenicola_marina:99.99999999999997	Arenicola marina	urn:lsid:marinespecies.org:taxname:129868	species	asv.2_W-8-multi-tot
3126	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.00000000000001;phylum:Annelida:67.33333333333334;class:Clitellata:67.33333333333334;order:Crassiclitellata:67.33333333333334;family:Megascolecidae:67.33333333333334;genus:Amynthas:66.83333333333334;species:Tomocerus_minor:32.666666666666664	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.330_W-8-multi-tot
2762	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.3_W-8-multi-tot
2039	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Annelida:63.66666666666665;class:Clitellata:63.66666666666665;order:Crassiclitellata:63.66666666666665;family:Megascolecidae:63.66666666666665;genus:Amynthas:63.66666666666665;species:Tomocerus_minor:36.333333333333336	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.332_W-8-multi-tot
1802	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Animalia	Rotifera	Eurotatoria	Ploima	Synchaetidae		superkingdom:Eukaryota:100.00000000000003;phylum:Rotifera:100.00000000000003;class:Eurotatoria:100.00000000000003;order:Ploima:100.00000000000003;family:Synchaetidae:100.00000000000003;genus:Synchaeta:77.77777777777779;species:Synchaeta_hutchingsi:77.77777777777779	Synchaetidae	urn:lsid:marinespecies.org:taxname:134924	family	asv.334_W-8-multi-tot
1764	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Arthropoda:66.33333333333333;class:Malacostraca:66.33333333333333;order:Amphipoda:66.33333333333333;family:Niphargidae:66.33333333333333;genus:Niphargus:66.33333333333333;species:Niphargus_schellenbergi:66.33333333333333	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.333_W-8-multi-tot
1708	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Coryphopterus	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gobiiformes:100.0;family:Gobiidae:100.0;genus:Coryphopterus:100.0;species:Coryphopterus_tortugae:100.0	Coryphopterus tortugae	urn:lsid:marinespecies.org:taxname:309494	species	asv.339_W-8-singleplex
1482	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Amphibia:100.0;order:Anura:100.0;family:Hylidae:100.0;genus:Hyla:100.0;species:Hyla_cf._savignyi_MS-2008:100.0	Hyla	urn:lsid:marinespecies.org:taxname:1480282	genus	asv.336_W-8-multi-tot
1384	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Arthropoda:72.0;class:Malacostraca:69.0;order:Decapoda:69.0;family:Penaeidae:69.0;genus:Penaeus:69.0;species:Penaeus_latisulcatus:69.0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.335_W-8-multi-tot
1298	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Animalia	Arthropoda	Malacostraca	Amphipoda			superkingdom:Eukaryota:100.0;phylum:Arthropoda:100.0;class:Malacostraca:100.0;order:Amphipoda:100.0;family:Acanthogammaridae:65.0;genus:Eucarinogammarus:65.0;species:Eucarinogammarus_wagii:65.0	Amphipoda	urn:lsid:marinespecies.org:taxname:1135	order	asv.337_W-8-multi-tot
1234	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.4_W-8-singleplex
1198	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads							superkingdom:Eukaryota:0;phylum:Platyhelminthes:0;class:Trematoda:0;order:Strigeidida:0;family:Schistosomatidae:0;genus:Schistosoma:0;species:Schistosoma_japonicum:0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.331_W-8-multi-tot
975	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Annelida:71.33333333333334;class:Clitellata:71.33333333333334;order:Crassiclitellata:71.33333333333334;family:Megascolecidae:71.33333333333334;genus:Amynthas:71.33333333333334;species:Amynthas_sp._YN201722-01:32.0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.338_W-8-multi-tot
892	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.5_W-8-singleplex
665	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.6_W-8-singleplex
622	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.8_W-8-multi-tot
619	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	superkingdom:Eukaryota:99.99999999999999;phylum:Chlorophyta:99.99999999999999;class:Mamiellophyceae:99.99999999999999;order:Mamiellales:99.99999999999999;family:Mamiellaceae:99.99999999999999;genus:Micromonas:99.99999999999999;species:Micromonas_pusilla:99.99999999999999	Micromonas pusilla	urn:lsid:marinespecies.org:taxname:134564	species	asv.7_W-8-singleplex
569	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.340_W-8-multi-tot
540	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.341_W-8-multi-tot
532	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.342_W-8-multi-tot
523	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Tharyx	superkingdom:Eukaryota:100.0;phylum:Annelida:100.0;class:Polychaeta:100.0;order:Terebellida:100.0;family:Cirratulidae:100.0;genus:Tharyx:100.0;species:Tharyx_setigera:100.0	Tharyx setigera	urn:lsid:marinespecies.org:taxname:156678	species	asv.9_W-8-singleplex
425	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales			superkingdom:Eukaryota:100.0;phylum:Bacillariophyta:100.0;class:Coscinodiscophyceae:91.64791144527986;order:Thalassiosirales:91.64791144527986;family:Skeletonemataceae:77.27603887340729;genus:Skeletonema:77.27603887340729;species:Skeletonema_tropicum:38.39334908297756	Thalassiosirales	urn:lsid:marinespecies.org:taxname:148903	order	asv.10_W-8-singleplex
394	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Coryphopterus	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gobiiformes:100.0;family:Gobiidae:100.0;genus:Coryphopterus:100.0;species:Coryphopterus_tortugae:100.0	Coryphopterus tortugae	urn:lsid:marinespecies.org:taxname:309494	species	asv.339_W-8-multi-tot
389	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.11_W-8-multi-tot
373	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta		Arenicolidae	Arenicola	superkingdom:Eukaryota:100.00000000000007;phylum:Annelida:100.00000000000007;class:Polychaeta:100.00000000000007;order:NA:6.628686635944707;family:Arenicolidae:100.00000000000007;genus:Arenicola:100.00000000000007;species:Arenicola_marina:100.00000000000007	Arenicola marina	urn:lsid:marinespecies.org:taxname:129868	species	asv.13_W-8-singleplex
357	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.344_W-8-multi-tot
344	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Porifera:50.8;class:Demospongiae:50.8;order:Haplosclerida:50.8;family:Phloeodictyidae:50.8;genus:Oceanapia:50.8;species:Oceanapia_bartschi:50.8	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.12_W-8-singleplex
339	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Polychaeta		Arenicolidae	Arenicola	superkingdom:Eukaryota:99.99999999999996;phylum:Annelida:99.99999999999996;class:Polychaeta:99.99999999999996;order:NA:7.355106658047833;family:Arenicolidae:99.99999999999996;genus:Arenicola:99.99999999999996;species:Arenicola_marina:99.99999999999996	Arenicola marina	urn:lsid:marinespecies.org:taxname:129868	species	asv.343_W-8-singleplex
322	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.345_W-8-multi-tot
287	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	superkingdom:Eukaryota:100.0;phylum:Bacillariophyta:100.0;class:Coscinodiscophyceae:100.0;order:Thalassiosirales:100.0;family:Skeletonemataceae:86.9032258064516;genus:Skeletonema:86.9032258064516;species:Skeletonema_grethae:69.53333333333343	Skeletonema	urn:lsid:marinespecies.org:taxname:149073	genus	asv.14_W-8-singleplex
284	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.346_W-8-multi-tot
277	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Coryphopterus	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:98.5;order:Gobiiformes:98.5;family:Gobiidae:98.5;genus:Coryphopterus:98.5;species:Coryphopterus_tortugae:98.5	Coryphopterus tortugae	urn:lsid:marinespecies.org:taxname:309494	species	asv.347_W-8-singleplex
263	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.348_W-8-multi-tot
232	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	superkingdom:Eukaryota:100.0;phylum:Chlorophyta:100.0;class:Mamiellophyceae:100.0;order:Mamiellales:100.0;family:Bathycoccaceae:100.0;genus:Bathycoccus:100.0;species:Bathycoccus_prasinos:100.0	Bathycoccus prasinos	urn:lsid:marinespecies.org:taxname:345459	species	asv.15_W-8-singleplex
222	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.349_W-8-multi-tot
220	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	Eucheuma	superkingdom:Eukaryota:100.0;phylum:Rhodophyta:100.0;class:Florideophyceae:100.0;order:Gigartinales:100.0;family:Solieriaceae:100.0;genus:Eucheuma:100.0;species:Eucheuma_serra:87.2	Eucheuma serra	urn:lsid:marinespecies.org:taxname:213999	species	asv.16_W-8-singleplex
191	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.350_W-8-multi-tot
177	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.4_W-8-multi-tot
150	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Echinodermata:66.0;class:Ophiuroidea:66.0;order:Amphilepidida:66.0;family:Ophionereidae:66.0;genus:Ophionereis:66.0;species:Ophionereis_fusca:66.0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.351_W-8-singleplex
144	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.17_W-8-singleplex
144	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Arthropoda	Hexanauplia				superkingdom:Eukaryota:100.0;phylum:Arthropoda:100.0;class:Hexanauplia:100.0;order:NA:100.0;family:NA:100.0;genus:NA:100.0;species:Hexanauplia_sp.:100.0	Hexanauplia	urn:lsid:marinespecies.org:taxname:889925	class	asv.18_W-8-singleplex
140	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.352_W-8-multi-tot
136	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Chromista	Bacillariophyta	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	superkingdom:Eukaryota:100.0;phylum:Bacillariophyta:100.0;class:Mediophyceae:100.0;order:Cymatosirales:100.0;family:Cymatosiraceae:100.0;genus:Minutocellus:100.0;species:Minutocellus_polymorphus:100.0	Minutocellus polymorphus	urn:lsid:marinespecies.org:taxname:464449	species	asv.19_W-8-singleplex
127	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.20_W-8-singleplex
121	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Botrydiopsidaceae	Botrydiopsis	superkingdom:Eukaryota:100.0;phylum:NA:100.0;class:Xanthophyceae:100.0;order:Mischococcales:100.0;family:Botrydiopsidaceae:100.0;genus:Botrydiopsis:100.0;species:Botrydiopsis_alpina:100.0	Botrydiopsis alpina	urn:lsid:marinespecies.org:taxname:663048	species	asv.21_W-8-singleplex
111	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Coryphopterus	superkingdom:Eukaryota:100.0;phylum:Chordata:100.0;class:Actinopteri:100.0;order:Gobiiformes:100.0;family:Gobiidae:100.0;genus:Coryphopterus:100.0;species:Coryphopterus_tortugae:100.0	Coryphopterus tortugae	urn:lsid:marinespecies.org:taxname:309494	species	asv.353_W-8-singleplex
107	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	superkingdom:Eukaryota:99.99999999999994;phylum:Bacillariophyta:99.99999999999994;class:Coscinodiscophyceae:99.99999999999994;order:Thalassiosirales:99.99999999999994;family:Skeletonemataceae:99.99999999999994;genus:Skeletonema:99.99999999999994;species:Skeletonema_costatum:34.068086883876354	Skeletonema	urn:lsid:marinespecies.org:taxname:149073	genus	asv.23_W-8-singleplex
107	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales			superkingdom:Eukaryota:100.0;phylum:Bacillariophyta:86.66666666666663;class:Coscinodiscophyceae:86.66666666666663;order:Thalassiosirales:86.66666666666663;family:Skeletonemataceae:50.333333333333286;genus:Skeletonema:50.333333333333286;species:Thalassiosira_nordenskioeldii:36.333333333333336	Thalassiosirales	urn:lsid:marinespecies.org:taxname:148903	order	asv.24_W-8-singleplex
107	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.5_W-8-multi-tot
105	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Animalia	Annelida	Clitellata	Crassiclitellata	Lumbricidae	Eisenia	superkingdom:Eukaryota:100.0;phylum:Annelida:86.0;class:Clitellata:86.0;order:Crassiclitellata:86.0;family:Lumbricidae:86.0;genus:Eisenia:86.0;species:Eisenia_fetida:86.0	Eisenia fetida	urn:lsid:marinespecies.org:taxname:1041027	species	asv.354_W-8-singleplex
104	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.22_W-8-singleplex
104	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.26_W-8-singleplex
104	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads	Eukaryota						superkingdom:Eukaryota:100.0;phylum:Bacillariophyta:46.0;class:Bacillariophyceae:46.0;order:Bacillariales:46.0;family:Bacillariaceae:46.0;genus:Psammodictyon:46.0;species:Psammodictyon_panduriforme:46.0	Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.355_W-8-singleplex
101	W-8-singleplex	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	202708	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.25_W-8-singleplex
100	W-8-multi-tot	MaterialSample	present	Hugo Gante	eDNA expeditions citizen science sampling	53001	DNA Sequence reads	DNA Sequence reads								Biota	urn:lsid:marinespecies.org:taxname:1	kingdom	asv.6_W-8-multi-tot
